system:index,CHIRPS_MATOC,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_MATOC_CORR
46,52.387668673808754,2015-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-11-01,11,1.4967678322639064,78.4121772782565
47,67.035584963285,2015-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-12-01,12,1.6946525708826246,113.60202639865155
48,47.13908234009376,2016-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-01-01,1,1.4594143508430073,68.795453252703
49,109.2799342870712,2016-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-02-01,2,1.1729096681517877,128.17549146029785
50,158.03773166583136,2016-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-03-01,3,1.0176523505820951,160.8274691103957
51,56.35574014370258,2016-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-04-01,4,1.4159446733735415,79.79661007049913
52,32.37296007229732,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-05-01,5,1.5219398888725382,49.269699254907295
53,4.837580864246075,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-06-01,6,1.7515368991023574,8.473201386118472
54,1.8232869551731992,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-07-01,7,1.7446835045501838,3.181058674752211
55,8.690232231066776,2016-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-08-01,8,1.1623543434326868,10.101129179219196
56,45.37671243227445,2016-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-09-01,9,0.9070016507451076,41.15675308145897
57,50.09283727865953,2016-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-10-01,10,1.3044451451374333,65.34335839430686
58,36.996248978834885,2016-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-11-01,11,1.4967678322639064,55.37479538594645
59,85.56381330123315,2016-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-12-01,12,1.6946525708826246,145.00093618545566
60,83.39461262409503,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-01-01,1,1.4594143508430073,121.70729444659771
61,161.13440137643082,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-02-01,2,1.1729096681517877,188.99609724626643
62,257.50627598395715,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-03-01,3,1.0176523505820951,262.0518670447157
63,72.44353228348952,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-01,4,1.4159446733735415,102.57603365717117
64,36.685881247887245,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-05-01,5,1.5219398888725382,55.83370602960065
65,1.789593953352708,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-06-01,6,1.7515368991023574,3.1345398437077314
66,1.8085061678519616,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-07-01,7,1.7446835045501838,3.1552708789285835
67,7.779973158469568,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-08-01,8,1.1623543434326868,9.043085592536821
68,38.31979703903198,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-09-01,9,0.9070016507451076,34.7561191706195
69,64.1273930989779,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-10-01,10,1.3044451451374333,83.65066659828148
70,64.12979729358966,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-11-01,11,1.4967678322639064,95.98741767864993
71,112.43240921313944,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-12-01,12,1.6946525708826246,190.53387132357403
72,149.75901909974905,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-01,1,1.4594143508430073,218.56046164234579
73,138.32691232974713,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-02-01,2,1.1729096681517877,162.24497283714513
74,179.87787378751315,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-03-01,3,1.0176523505820951,183.0531410775722
75,84.79168220666739,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-04-01,4,1.4159446733735415,120.06033076691278
76,37.96255955329308,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-05-01,5,1.5219398888725382,57.776733667855986
77,1.7418441130564764,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-06-01,6,1.7515368991023574,3.0509042365026366
78,1.823286913908445,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-07-01,7,1.7446835045501838,3.1810586027582755
79,7.692264767793507,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-08-01,8,1.1623543434326868,8.941137363679012
80,36.51693916320801,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-09-01,9,0.9070016507451076,33.12092410118833
81,80.31555099212206,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-10-01,10,1.3044451451374333,104.76723057071158
82,73.04845014902261,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-11-01,11,1.4967678322639064,109.33657037979061
83,177.6575709489676,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-12-01,12,1.6946525708826246,301.0678593454302
