fecha;Q_sim
1/01/2012;75.32150761
1/02/2012;84.73094594
1/03/2012;50.74685793
1/04/2012;62.66127529
1/05/2012;21.79776247
1/06/2012;14.53486585
1/07/2012;10.04849386
1/08/2012;7.280476615
1/09/2012;6.398918389
1/10/2012;8.071973634
1/11/2012;52.5464907
1/12/2012;58.32938967
1/01/2013;51.8960808
1/02/2013;69.22924791
1/03/2013;166.444793
1/04/2013;76.33043229
1/05/2013;32.84346399
1/06/2013;20.98277645
1/07/2013;14.7013838
1/08/2013;11.17013052
1/09/2013;8.982121256
1/10/2013;32.67390114
1/11/2013;34.42559164
1/12/2013;49.56995268
1/01/2014;36.50117934
1/02/2014;47.14182747
1/03/2014;60.47448507
1/04/2014;19.95247179
1/05/2014;30.35453311
1/06/2014;13.98731095
1/07/2014;10.24892712
1/08/2014;7.680276674
1/09/2014;10.09989047
1/10/2014;7.178027586
1/11/2014;18.38795307
1/12/2014;43.30313749
1/01/2015;64.6104842
1/02/2015;34.51382896
1/03/2015;69.99586123
1/04/2015;48.66408942
1/05/2015;47.10473016
1/06/2015;17.22440713
1/07/2015;12.68288086
1/08/2015;9.761695996
1/09/2015;8.538570383
1/10/2015;13.27126588
1/11/2015;48.76929123
1/12/2015;35.89058991
1/01/2016;22.65881186
1/02/2016;52.03585874
1/03/2016;43.33640728
1/04/2016;42.70455212
1/05/2016;16.62707805
1/06/2016;12.63077789
1/07/2016;9.300730479
1/08/2016;7.355779493
1/09/2016;6.331676066
1/10/2016;14.38671608
1/11/2016;6.489888931
1/12/2016;57.74523283
1/01/2017;65.13581492
1/02/2017;105.0161296
1/03/2017;138.4037936
1/04/2017;73.00567704
1/05/2017;61.94223493
1/06/2017;23.62871217
1/07/2017;16.72070314
1/08/2017;12.64406172
1/09/2017;16.18260878
1/10/2017;18.43417854
1/11/2017;19.52061434
1/12/2017;58.23943439
1/01/2018;75.5003986
1/02/2018;54.4829831
1/03/2018;122.976109
1/04/2018;59.39496271
1/05/2018;36.52984649
1/06/2018;19.75703706
1/07/2018;13.9713742
1/08/2018;10.31219791
1/09/2018;8.325013113
1/10/2018;25.82154615
1/11/2018;64.40357706
1/12/2018;59.49950783
1/01/2019;90.64982148
1/02/2019;115.9629332
1/03/2019;115.885625
1/04/2019;78.46383907
1/05/2019;30.64229253
1/06/2019;22.36981895
1/07/2019;16.32116886
1/08/2019;11.88646801
1/09/2019;11.12000141
1/10/2019;17.9514216
1/11/2019;35.71882762
1/12/2019;108.414932
1/01/2020;53.77095597
1/02/2020;71.16577729
1/03/2020;90.0523286
1/04/2020;41.50864925
1/05/2020;53.56953171
1/06/2020;19.46106192
1/07/2020;14.60896765
1/08/2020;10.74911269
1/09/2020;10.60344617
1/10/2020;43.32093963
1/11/2020;27.25486798
1/12/2020;69.52701619
1/01/2021;55.1325784
1/02/2021;52.95524664
1/03/2021;112.927221
1/04/2021;63.88463869
1/05/2021;31.80385031
1/06/2021;18.64276724
1/07/2021;12.69126443
1/08/2021;9.354759258
1/09/2021;7.944848528
1/10/2021;10.96252611
1/11/2021;50.41330485
1/12/2021;50.86730007
1/01/2022;79.05539803
1/02/2022;89.07690571
1/03/2022;91.9809977
1/04/2022;70.79547369
1/05/2022;34.75436723
1/06/2022;20.86724758
1/07/2022;14.3565133
1/08/2022;10.65066643
1/09/2022;9.629648941
1/10/2022;8.348647869
1/11/2022;6.597616086
1/12/2022;34.86796224
