Variable,Coeficiente,p_value,R2
const,-13.271001263854806,0.185759957179937,0.8510473163060261
ndvi,51.27949450330151,1.237395625470236e-05,0.8510473163060261
P_mm,0.4254692563364325,1.9143592467620107e-40,0.8510473163060261
Tmed_c,0.42719744060241727,0.5583665481241505,0.8510473163060261
