UH,meses_totales,meses_validos,meses_na,porcentaje_cobertura,meses_promedio_>=2_est,meses_1_estacion,meses_sin_datos
Matoc,132,50,82,37.88,40,10,82
Pocco,132,61,71,46.21,47,14,71
