Relacion,Spearman_r,p_value
NDVI - Temperatura,0.027340107781634485,0.755660364304109
NDVI - Precipitacion,0.09222759414416369,0.29290063001849515
Temperatura - Precipitacion,-0.6931577005118765,3.270649234063937e-20
