,P_mm,Tmed_c,ndvi,Q_mm
P_mm,1.0,-0.6931577005118765,0.0922275941441637,0.8614955955504968
Tmed_c,-0.6931577005118765,1.0,0.027340107781634492,-0.6045343074051377
ndvi,0.0922275941441637,0.027340107781634492,1.0,0.293251686810776
Q_mm,0.8614955955504968,-0.6045343074051377,0.293251686810776,1.0
