Relacion,Spearman_r,p_value
NDVI - Temperatura,0.019548899090385197,0.8239365095514655
NDVI - Precipitacion,0.17603831308011314,0.04347828439184614
Temperatura - Precipitacion,-0.7158108258682774,5.143493350372196e-22
