,P_mm,Tmed_c,ndvi,Q_mm
P_mm,1.0,-0.7158108258682774,0.17603831308011314,0.8994911356444811
Tmed_c,-0.7158108258682774,1.0,0.019548899090385194,-0.6417574792551516
ndvi,0.17603831308011314,0.019548899090385194,1.0,0.3435341277798406
Q_mm,0.8994911356444811,-0.6417574792551516,0.3435341277798406,1.0
