UH,meses_totales,meses_con_Q,P_prom_mm,PET_prom_mm,Q_prom_mm,coef_escorrentia,indice_aridez_PET_P,correlacion_P_Q,balance_P_Q_PET_mm
Matoc,132,43,90.57,52.19,31.65,0.349,0.576,0.729,6.73
Pocco,132,45,102.37,48.97,41.45,0.405,0.478,0.793,11.95
