estacion,volumen_diario_m3,volumen_mensual_m3,error_pct,meses_faltantes,evaluacion
Matoc,3811345.849890833,3679171.1999999997,-3.4679259006269114,0,REVISAR
Pocco,7926463.634408805,7875792.0,-0.6392716442782738,0,EXCELENTE
