fecha,Q_m3s
2013-04-16,0.12872201388888888
2013-04-17,0.13740451388888889
2013-04-18,0.12093333333333334
2013-04-19,0.11404434027777777
2013-04-20,0.10396607638888888
2013-04-21,0.09251902777777778
2013-04-22,0.08365361111111111
2013-04-23,0.08141076388888889
2013-04-24,0.08958052083333333
2013-04-25,0.070554375
2013-04-26,0.060179687499999995
2013-04-27,0.05413600694444445
2013-04-28,0.050893888888888884
2013-04-29,0.046261354166666664
2013-04-30,0.04194170138888889
2013-05-01,0.04364611111111111
2013-05-02,0.05393475694444445
2013-05-03,0.059594930555555564
2013-05-04,0.054499409722222225
2013-05-05,0.05369298611111111
2013-05-06,0.05381065972222222
2013-05-07,0.04811708333333334
2013-05-08,0.045812604166666666
2013-05-09,0.04103017361111111
2013-05-10,0.03836385416666667
2013-05-11,0.03567104166666667
2013-05-12,0.03409163194444445
2013-05-13,0.03161701388888889
2013-05-14,0.029923472222222223
2013-05-15,0.03832440972222222
2013-05-16,0.04592184027777778
2013-05-17,0.03575833333333333
2013-05-18,0.034755173611111106
2013-05-19,0.04106125
2013-05-20,0.03180209059233449
2013-05-21,0.038223263888888886
2013-05-22,0.035474513888888885
2013-05-23,0.03465802083333333
2013-05-24,0.02941940972222222
2013-05-25,0.03155253472222222
2013-05-26,0.034793194444444446
2013-05-27,0.03170680555555556
2013-05-28,0.027982986111111115
2013-05-29,0.02505579861111111
2013-05-30,0.02377472222222222
2013-05-31,0.023820069444444442
2013-06-01,0.023536458333333333
2013-06-02,0.02397527777777778
2013-06-03,0.021381145833333334
2013-06-04,0.019705833333333332
2013-06-05,0.018859583333333332
2013-06-06,0.01762121527777778
2013-06-07,0.019482842105263156
2013-06-08,0.02067527777777778
2013-06-09,0.01936902777777778
2013-06-10,0.019015694444444443
2013-06-11,0.018308402777777778
2013-06-12,0.01738472222222222
2013-06-13,0.017004270833333335
2013-06-14,0.01647579861111111
2013-06-15,0.01562621527777778
2013-06-16,0.0160103125
2013-06-17,0.015874618055555553
2013-06-18,0.015322083333333335
2013-06-19,0.014954131944444445
2013-06-20,0.014561319444444446
2013-06-21,0.014247465277777779
2013-06-22,0.013811493055555556
2013-06-23,0.013248576388888888
2013-06-24,0.012878819444444444
2013-06-25,0.012394166666666666
2013-06-26,0.012212743055555555
2013-06-27,0.011443368055555556
2013-06-28,0.010953402777777779
2013-06-29,0.010736041666666666
2013-06-30,0.011046145833333333
2013-07-01,0.011491111111111112
2013-07-02,0.01156607638888889
2013-07-03,0.011522604166666665
2013-07-04,0.011347465277777777
2013-07-05,0.011214895833333334
2013-07-06,0.010321215277777778
2013-07-07,0.010261006944444446
2013-07-08,0.011010104166666666
2013-07-09,0.010691909722222222
2013-07-10,0.009913923611111113
2013-07-11,0.009685833333333334
2013-07-12,0.00981909090909091
2013-07-13,0.009574687500000002
2013-07-14,0.009602881944444445
2013-07-15,0.009574305555555556
2013-07-16,0.008815451388888888
2013-07-17,0.00859673611111111
2013-07-18,0.008849409722222222
2013-07-19,0.009287256944444445
