mes,Factor_correccion
1,1.4594143508430073
2,1.1729096681517877
3,1.0176523505820951
4,1.4159446733735415
5,1.5219398888725382
6,1.7515368991023574
7,1.7446835045501838
8,1.1623543434326868
9,0.9070016507451076
10,1.3044451451374333
11,1.4967678322639064
12,1.6946525708826246
