Clase,Matoc (%),Pocco (%)
Vegetación muy baja,7.575757575757576,9.090909090909092
Vegetación baja,57.57575757575758,59.84848484848485
Vegetación moderada,24.242424242424242,24.242424242424242
Vegetación alta,10.606060606060606,6.8181818181818175
