Estacion,anio,%_datos_validos
ANA 1,2012,23.497267759562842
ANA 1,2013,75.06849315068493
ANA 1,2014,100.0
ANA 1,2015,91.5068493150685
ANA 1,2016,81.9672131147541
ANA 1,2017,100.0
ANA 1,2018,100.0
ANA 1,2019,100.0
ANA 1,2020,80.87431693989072
ANA 1,2021,0.0
ANA 1,2022,0.0
ANA 2,2012,47.540983606557376
ANA 2,2013,100.0
ANA 2,2014,100.0
ANA 2,2015,93.15068493150685
ANA 2,2016,94.53551912568307
ANA 2,2017,100.0
ANA 2,2018,100.0
ANA 2,2019,83.56164383561644
ANA 2,2020,100.0
ANA 2,2021,100.0
ANA 2,2022,75.89041095890411
Matoc_1,2012,90.43715846994536
Matoc_1,2013,72.05479452054794
Matoc_1,2014,39.45205479452055
Matoc_1,2015,0.0
Matoc_1,2016,13.114754098360656
Matoc_1,2017,35.89041095890411
Matoc_1,2018,64.65753424657534
Matoc_1,2019,0.0
Matoc_1,2020,0.0
Matoc_1,2021,0.0
Matoc_1,2022,46.849315068493155
Matoc_2,2012,91.80327868852459
Matoc_2,2013,98.9041095890411
Matoc_2,2014,3.0136986301369864
Matoc_2,2015,0.0
Matoc_2,2016,5.737704918032787
Matoc_2,2017,39.726027397260275
Matoc_2,2018,56.986301369863014
Matoc_2,2019,0.0
Matoc_2,2020,0.0
Matoc_2,2021,0.0
Matoc_2,2022,0.0
Matoc_3,2012,42.349726775956285
Matoc_3,2013,88.76712328767124
Matoc_3,2014,56.16438356164384
Matoc_3,2015,13.424657534246576
Matoc_3,2016,12.295081967213115
Matoc_3,2017,40.54794520547945
Matoc_3,2018,64.65753424657534
Matoc_3,2019,0.0
Matoc_3,2020,0.0
Matoc_3,2021,0.0
Matoc_3,2022,49.589041095890416
Pocco_1,2012,54.91803278688525
Pocco_1,2013,97.80821917808218
Pocco_1,2014,53.97260273972603
Pocco_1,2015,12.32876712328767
Pocco_1,2016,48.36065573770492
Pocco_1,2017,0.0
Pocco_1,2018,59.726027397260275
Pocco_1,2019,0.0
Pocco_1,2020,0.0
Pocco_1,2021,0.0
Pocco_1,2022,47.12328767123288
Pocco_2,2012,91.53005464480874
Pocco_2,2013,81.36986301369863
Pocco_2,2014,54.52054794520548
Pocco_2,2015,49.589041095890416
Pocco_2,2016,0.0
Pocco_2,2017,0.0
Pocco_2,2018,0.0
Pocco_2,2019,0.0
Pocco_2,2020,0.0
Pocco_2,2021,0.0
Pocco_2,2022,0.0
Pocco_3,2012,45.62841530054645
Pocco_3,2013,87.94520547945206
Pocco_3,2014,54.24657534246575
Pocco_3,2015,100.0
Pocco_3,2016,65.30054644808743
Pocco_3,2017,0.0
Pocco_3,2018,66.3013698630137
Pocco_3,2019,0.0
Pocco_3,2020,0.0
Pocco_3,2021,0.0
Pocco_3,2022,47.12328767123288
