Estacion,total_registros,validos,na,%_NA,%_validos
ANA 1,4018,2750,1268,31.557989049278245,68.44201095072175
ANA 2,4018,3633,385,9.581881533101045,90.41811846689896
Matoc_1,4018,1324,2694,67.04828272772524,32.95171727227476
Matoc_2,4018,1082,2936,73.07117969138875,26.92882030861125
Matoc_3,4018,1343,2675,66.5754106520657,33.424589347934294
Pocco_1,4018,1367,2651,65.97809855649577,34.021901443504234
Pocco_2,4018,1012,3006,74.8133399701344,25.186660029865603
Pocco_3,4018,1704,2314,57.59084121453459,42.40915878546541
