Variable,W_Matoc,p_Matoc,W_Pocco,p_Pocco
P_mm,0.9387496291945856,1.4798410497226803e-05,0.9308647204173536,4.308873934447024e-06
Tmed_c,0.9711334633765495,0.006522820073794386,0.9804537954493582,0.05429903815733751
ndvi,0.8888783175222438,1.715712692286151e-08,0.8570299045595633,5.81188428459169e-10
Q_mm,0.8750298478621205,3.683407599908273e-09,0.8686042765592792,1.87062942870516e-09
