Observado,Predicho,Residuo
75.32,79.02092189253483,-3.7009218925348364
84.73,88.71580839887658,-3.9858083988765713
50.75,51.60248632825969,-0.8524863282596868
62.66,59.68989561059537,2.970104389404625
21.8,20.672999538974377,1.1270004610256237
14.53,1.4516761256547923,13.078323874345207
10.05,-1.3525135106388038,11.402513510638805
7.28,-1.501426870813691,8.781426870813691
6.4,12.323956347675965,-5.923956347675965
8.07,28.086171824573643,-20.016171824573643
52.55,72.23169253573623,-19.681692535736232
58.33,68.9601787118194,-10.630178711819397
51.9,52.09535755328908,-0.1953575532890781
69.23,60.83019114053137,8.399808859468635
166.44,130.8286342592556,35.61136574074439
76.33,55.633912743835445,20.696087256164553
32.84,22.528444579165708,10.311555420834296
20.98,2.0136946265833697,18.96630537341663
14.7,0.6589380432988997,14.0410619567011
11.17,4.880458037832169,6.289541962167831
8.98,5.129048159255626,3.850951840744375
32.67,53.275113763058144,-20.605113763058142
34.43,41.25352112804444,-6.82352112804444
49.57,58.26635859111463,-8.696358591114631
36.5,36.65141681101981,-0.15141681101980708
47.14,45.70445280515324,1.4355471948467624
60.47,47.99735317627766,12.472646823722336
19.95,23.847087321097906,-3.8970873210979065
30.35,29.246898807586064,1.1031011924139378
13.99,4.208355588202329,9.781644411797672
10.25,6.159528810794392,4.090471189205608
7.68,1.4589766613381978,6.2210233386618015
10.1,20.29607184575322,-10.196071845753222
7.18,23.281968810697556,-16.101968810697556
18.39,30.57434488487263,-12.18434488487263
43.3,63.24445098112354,-19.944450981123545
64.61,71.0527327320104,-6.442732732010398
34.51,33.220853268865156,1.2891467311348421
70.0,66.13435749456303,3.8656425054369663
48.66,45.65093343337334,3.0090665666266574
47.1,40.20269759456387,6.897302405436129
17.22,5.875330980908152,11.344669019091846
12.68,5.339514627223494,7.340485372776506
9.76,5.974121408728718,3.785878591271282
8.54,14.665023922741268,-6.125023922741269
13.27,34.18835306196769,-20.91835306196769
48.77,62.59829000981684,-13.82829000981684
35.89,46.66277098035104,-10.77277098035104
22.66,28.063437564949705,-5.403437564949705
52.04,53.18255487640224,-1.1425548764022437
43.34,48.286683312967185,-4.946683312967181
42.7,47.1783499022356,-4.4783499022356
16.63,10.474415055376792,6.155584944623207
12.63,6.4983315681814915,6.131668431818509
9.3,3.3395153311170436,5.960484668882957
7.36,7.133593459524483,0.22640654047551756
6.33,9.49188894604089,-3.1618889460408894
14.39,34.58805149648625,-20.19805149648625
6.49,9.937286161192851,-3.447286161192851
57.75,81.59545774155323,-23.845457741553233
65.14,67.40216962813474,-2.2621696281347425
105.02,87.69938708368451,17.320612916315483
138.4,103.37033645285673,35.02966354714327
73.01,53.4461696376352,19.563830362364804
61.94,42.257921484780766,19.68207851521923
23.63,6.888742775751213,16.741257224248784
16.72,5.8262504803037976,10.8937495196962
12.64,12.76932756179718,-0.1293275617971794
16.18,24.476829744996742,-8.296829744996742
18.43,34.04862467896657,-15.618624678966569
19.52,23.084791435335237,-3.5647914353352377
58.24,65.81456427860432,-7.574564278604321
75.5,66.97056267902546,8.529437320974537
54.48,42.73514168485301,11.744858315146985
122.98,98.08320687156161,24.89679312843839
59.39,45.33804151163111,14.05195848836889
36.53,25.58990334006947,10.940096659930532
19.76,0.9877961430756376,18.772203856924364
13.97,1.0579632065941746,12.912036793405825
10.31,-0.60581240659098,10.91581240659098
8.33,6.127694383026671,2.2023056169733293
25.82,46.16278787862661,-20.34278787862661
64.4,76.38872207096236,-11.988722070962353
59.5,68.6593494335919,-9.159349433591899
90.65,89.37404321498117,1.2759567850188347
115.96,98.67971576144664,17.28028423855335
115.89,97.23651073143071,18.653489268569288
78.46,68.30770563149883,10.15229436850116
30.64,23.54310866759683,7.096891332403171
22.37,19.757990693506162,2.612009306493839
16.32,16.107217727792406,0.21278227220759405
11.89,6.932352774246522,4.957647225753479
11.12,26.700984404881538,-15.580984404881539
17.95,39.8495413917,-21.8995413917
35.72,46.626097318833715,-10.906097318833716
108.41,111.83119641876989,-3.4211964187698953
53.77,53.528808187235214,0.2411918127647894
71.17,66.08369650663141,5.08630349336859
90.05,83.83472552972029,6.215274470279709
41.51,49.764548032194675,-8.254548032194677
53.57,56.06111210479491,-2.491112104794908
19.46,13.639168406671,5.820831593329
14.61,17.96060214879773,-3.35060214879773
10.75,8.218616311926706,2.5313836880732943
10.6,25.73029235409872,-15.130292354098719
43.32,67.03723105334333,-23.717231053343333
27.25,34.50696767069464,-7.256967670694642
69.53,77.81714553044208,-8.287145530442075
55.13,56.7951661830442,-1.6651661830441995
52.96,56.07636900663993,-3.1163690066399283
112.93,82.77367122567807,30.156328774321935
63.88,65.60030477074146,-1.720304770741457
31.8,35.7206014040105,-3.920601404010501
18.64,11.753494390993584,6.8865056090064165
12.69,10.147207293307307,2.5427927066926923
9.35,9.524810129246173,-0.17481012924617367
7.94,15.099855775228,-7.159855775228
10.96,40.13272031350976,-29.172720313509757
50.41,71.97791162205291,-21.567911622052918
50.87,66.12843110490918,-15.258431104909185
79.06,81.06809764745776,-2.0080976474577596
89.08,76.49679100654367,12.583208993456324
91.98,82.89563019971986,9.084369800280143
70.8,69.9400393398451,0.859960660154897
34.75,33.98021836274933,0.7697816372506665
20.87,20.088008276924416,0.7819917230755848
14.36,11.144880053796607,3.2151199462033926
10.65,11.31465067128359,-0.6646506712835905
9.63,22.18831344071755,-12.55831344071755
8.35,25.11898261118483,-16.768982611184832
6.6,5.619284704555498,0.9807152954445018
34.87,62.41373886023894,-27.54373886023894
