Observado,Predicho,Residuo
83.67,92.00798648062019,-8.337986480620188
92.01,114.01356740855279,-22.003567408552783
50.38,58.476378853236376,-8.096378853236374
65.73,70.3464794945247,-4.616479494524697
24.62,26.35886495394373,-1.7388649539437289
15.54,2.6484558436198493,12.89154415638015
11.09,-0.44873273513050144,11.538732735130502
8.13,-0.7612932670841266,8.891293267084126
6.91,10.048148478372008,-3.138148478372008
6.46,24.600901290847094,-18.140901290847093
48.75,79.97004203353637,-31.220042033536373
51.55,74.91414640615339,-23.364146406153395
39.95,52.67657497987053,-12.726574979870527
79.94,86.83149053697635,-6.891490536976349
208.22,185.2124993654214,23.007500634578605
49.43,38.647088941302314,10.782911058697685
28.17,13.859058188539642,14.31094181146036
19.59,2.2099745145462166,17.380025485453782
14.1,1.4844919474704261,12.615508052529574
10.91,5.155081885596595,5.754918114403405
8.95,7.3097727763038325,1.6402272236961668
44.71,74.88081280245069,-30.17081280245069
49.21,63.53594798785455,-14.325947987854548
69.94,82.6992844466147,-12.7592844466147
49.52,50.64313490641604,-1.123134906416034
63.79,56.307268691146916,7.482731308853083
83.84,78.53094753319296,5.309052466807046
30.56,32.98106509446645,-2.421065094466453
25.13,23.647725043029755,1.4822749569702438
17.11,7.3460128802517355,9.763987119748265
12.89,8.42251396601218,4.46748603398782
9.74,2.8987275576319513,6.841272442368049
10.9,23.232639754575708,-12.332639754575707
22.31,45.07749810429733,-22.767498104297328
44.66,62.78242244340385,-18.122422443403856
82.88,101.10232167131146,-18.222321671311462
127.47,119.50532387912713,7.964676120872866
46.53,35.69953213708081,10.830467862919193
138.35,118.07480131668504,20.275198683314954
63.02,49.528513896563894,13.49148610343611
90.21,69.63729860014978,20.572701399850217
27.0,8.635820480125098,18.364179519874902
18.99,1.8174103796892696,17.172589620310728
15.13,11.830824753859243,3.2991752461407575
13.06,17.173674380379712,-4.113674380379711
29.25,49.73499516921667,-20.484995169216667
69.99,82.10305130983531,-12.113051309835313
43.73,52.49465496220554,-8.76465496220554
51.96,56.31010773880484,-4.350107738804837
109.53,101.53136158602543,7.998638413974575
79.43,73.9278851364167,5.5021148635833015
57.68,53.16915566109907,4.510844338900931
24.16,10.195726197718628,13.964273802281372
17.87,4.454795940389393,13.415204059610609
12.8,0.07469253855127658,12.725307461448724
9.51,1.8015184524596544,7.708481547540345
8.32,13.084059432233209,-4.764059432233209
24.91,50.265571525014316,-25.355571525014316
8.74,12.961976052687445,-4.221976052687445
77.26,105.72791054951081,-28.467910549510805
118.43,119.04251532190509,-0.6125153219050787
137.26,112.33410673526495,24.925893264735038
195.53,145.97991914842885,49.55008085157115
104.99,74.1654421162346,30.824557883765394
86.4,58.791619249182425,27.60838075081758
30.4,7.89361152624243,22.506388473757568
21.43,5.69218834609695,15.73781165390305
16.19,15.526181106445666,0.6638188935543354
23.03,31.58085604161124,-8.55085604161124
33.92,49.96664768766574,-16.04664768766574
28.12,32.31015839371351,-4.1901583937135065
83.92,92.91691678633572,-8.996916786335717
106.09,95.06684854727234,11.02315145272766
95.71,76.15159585701072,19.558404142989275
192.4,149.28187732027186,43.118122679728145
78.62,55.45568653071544,23.164313469284565
45.69,30.463055174810687,15.22694482518931
26.67,6.838901583992591,19.83109841600741
19.37,3.743665357584853,15.626334642415149
14.3,0.8319512992999333,13.468048700700068
12.19,14.826317542384116,-2.6363175423841163
43.72,64.50626553029969,-20.786265530299687
96.11,105.97873372558821,-9.868733725588214
90.64,89.57244456567363,1.0675554343263656
131.24,123.61601401921278,7.623985980787225
162.98,135.89491834329763,27.085081656702357
161.84,132.5938346447863,29.24616535521369
111.13,92.15138141190481,18.978618588095188
39.32,32.47296506909975,6.84703493090025
28.8,23.25360110442978,5.546398895570221
21.22,18.933309896743673,2.2866901032563263
15.31,7.320984917381098,7.989015082618902
18.94,36.83358012986915,-17.893580129869147
30.59,54.359105815528174,-23.769105815528174
51.02,67.884895677004,-16.864895677003993
154.91,162.3157873399648,-7.405787339964803
76.03,73.06789195355732,2.9621080464426797
98.84,89.21950305274882,9.620496947251183
125.89,114.4451009176988,11.444899082301205
61.11,65.09867289232135,-3.988672892321347
75.21,75.12938008399826,0.08061991600173712
25.0,15.909341424998866,9.090658575001134
19.11,22.211628856747918,-3.1016288567479187
14.01,10.420173170076898,3.5898268299231013
18.05,34.15054806774253,-16.100548067742526
54.41,80.55871950507834,-26.148719505078347
34.1,44.78669594919544,-10.686695949195439
80.37,94.32116701538234,-13.951167015382339
61.66,67.88143298801994,-6.2214329880199415
59.72,67.503101584785,-7.783101584785001
122.7,109.82333506760601,12.876664932393993
70.56,74.80224436206234,-4.242244362062337
37.16,43.46051910370171,-6.30051910370171
21.19,16.136709265084693,5.053290734915308
14.95,13.876497636775829,1.0735023632241703
11.2,12.55752658558736,-1.35752658558736
9.67,20.871701121626103,-11.201701121626103
15.32,44.66175931998574,-29.34175931998574
58.53,87.78964620814787,-29.25964620814787
58.58,87.47683236773734,-28.896832367737346
87.42,101.91059407404332,-14.490594074043315
96.5,91.62276213512334,4.877237864876662
97.84,95.06607846267858,2.773921537321428
75.85,81.18838039233715,-5.338380392337157
39.53,42.635941950665185,-3.1059419506651835
23.45,26.692689798771546,-3.242689798771547
16.49,13.363715740510893,3.126284259489106
12.38,13.816789892114588,-1.4367898921145876
20.28,39.69183827735713,-19.411838277357127
19.01,44.767443802450124,-25.757443802450123
22.35,41.20326336000146,-18.853263360001456
50.72,75.75252641435623,-25.032526414356226
