Variable,Coeficiente,p_value,R2
const,-13.11077353495375,0.32160104632801795,0.870855804847492
ndvi,69.25088060666648,7.874842813834375e-05,0.870855804847492
P_mm,0.49106526497555303,2.2360706668670016e-42,0.870855804847492
Tmed_c,0.42549065700138966,0.7208155355554967,0.870855804847492
