Variable,Coeficiente,p_value,IC_inf,IC_sup,R2,R2_adj
const,-0.01736778762198049,0.7997643523969593,-0.15255994965977934,0.11782437441581836,0.07362831969459926,0.059265968061957386
P_mm,0.00036771161284992267,0.0025732535026674283,0.00013108692628914045,0.0006043362994107049,0.07362831969459926,0.059265968061957386
Tmed_c,0.016361864841027966,0.007201713697660233,0.004507491321358805,0.02821623836069713,0.07362831969459926,0.059265968061957386
