UH,Iteracion,R,R2,RMSE,MAE,Bias_%,NSE
Matoc,15.5,0.9034793351208017,0.8202186852466334,34.998953606430376,24.64061695872144,-4.4276946164578534,0.7530596815372844
Pocco,15.5,0.89926225033788,0.810967323420478,40.28383140883689,27.929626058806505,-4.331203577407698,0.742411074051647
