fecha,PET_mm
2012-01-01,37.56967262996299
2012-02-01,35.24526112463962
2012-03-01,51.56724078399621
2012-04-01,52.516108063667176
2012-05-01,49.105488851050474
2012-06-01,64.22120922873339
2012-07-01,66.25563858412386
2012-08-01,60.98945398569421
2012-09-01,53.16158869987469
2012-10-01,65.36762437146845
2012-11-01,40.5729276362615
2012-12-01,49.763349761079986
2013-01-01,45.00420804980265
2013-02-01,39.28978109845715
2013-03-01,49.47275620442478
2013-04-01,54.18429173262128
2013-05-01,49.700212182050464
2013-06-01,64.78576315403562
2013-07-01,62.4515731548739
2013-08-01,59.91326408318889
2013-09-01,51.88378393326927
2013-10-01,61.2279476632776
2013-11-01,40.10169254658262
2013-12-01,49.23812091990188
2014-01-01,39.5419608436009
2014-02-01,37.55696011634487
2014-03-01,45.81860372091714
2014-04-01,55.021832683409976
2014-05-01,45.47317505872902
2014-06-01,63.33445412266426
2014-07-01,67.34553575395972
2014-08-01,58.60492811867999
2014-09-01,51.77651094374805
2014-10-01,63.462142043711985
2014-11-01,41.92855019598847
2014-12-01,51.223787808880225
2015-01-01,39.343107143477795
2015-02-01,37.27995955184939
2015-03-01,44.68666034662842
2015-04-01,50.76914678632905
2015-05-01,44.856360874191964
2015-06-01,60.274238702619414
2015-07-01,64.08642479682939
2015-08-01,60.93230728393961
2015-09-01,55.91098675437788
2015-10-01,68.20972650693795
2015-11-01,44.722944423490574
2015-12-01,54.15754166045675
2016-01-01,46.26126758820654
2016-02-01,39.51667312404535
2016-03-01,52.296898901559054
2016-04-01,56.459331164993145
2016-05-01,48.93744022869358
2016-06-01,59.358617467701585
2016-07-01,62.89068155865905
2016-08-01,61.13284263075335
2016-09-01,51.17525666503966
2016-10-01,61.11364109828154
2016-11-01,42.35627565016577
2016-12-01,46.15833918816462
2017-01-01,36.697762552769
2017-02-01,33.4574893278603
2017-03-01,44.400520732129486
2017-04-01,54.91540036604433
2017-05-01,47.76374460642847
2017-06-01,64.71751711567137
2017-07-01,62.752293664089464
2017-08-01,59.494040641526055
2017-09-01,53.54295433489497
2017-10-01,65.48069377240762
2017-11-01,39.24147263580835
2017-12-01,46.94355631510552
2018-01-01,36.74005405836056
2018-02-01,36.304963434942195
2018-03-01,48.51463003505612
2018-04-01,52.52322350254979
2018-05-01,47.577019706348835
2018-06-01,59.96659582790123
2018-07-01,62.491132919581744
2018-08-01,57.42938513509811
2018-09-01,50.00252454077804
2018-10-01,63.31796900819487
2018-11-01,42.34939074050439
2018-12-01,53.00438028175719
2019-01-01,39.14679748617097
2019-02-01,35.48842615604745
2019-03-01,47.39192889775697
2019-04-01,56.51974734350386
2019-05-01,51.940986913243655
2019-06-01,64.53182602562178
2019-07-01,68.2296534454819
2019-08-01,58.81271254697574
2019-09-01,56.6671221157473
2019-10-01,64.33456953370964
2019-11-01,39.592144288166885
2019-12-01,47.34431132941988
2020-01-01,40.587702051864326
2020-02-01,39.737672075676535
2020-03-01,49.320336916861834
2020-04-01,56.295645260681546
2020-05-01,50.347244723751714
2020-06-01,68.97765589317436
2020-07-01,68.658584099474
2020-08-01,62.19651522953264
2020-09-01,53.32947349728381
2020-10-01,64.85115307145023
2020-11-01,39.48221518124415
2020-12-01,45.06035974303692
2021-01-01,38.02539905670391
2021-02-01,38.25394030953247
2021-03-01,44.64752622166029
2021-04-01,56.799231446047365
2021-05-01,48.965828278219384
2021-06-01,66.18008500840848
2021-07-01,69.31082731551845
2021-08-01,61.44496134710492
2021-09-01,53.93394615323684
2021-10-01,70.57564044260947
2021-11-01,37.76371432678197
2021-12-01,49.32402805492201
2022-01-01,38.72521895211717
2022-02-01,36.229076924624344
2022-03-01,47.685602578594214
2022-04-01,56.3728793115202
2022-05-01,50.546807267783436
2022-06-01,63.32941045134169
2022-07-01,69.21195026446127
2022-08-01,63.832655071614724
2022-09-01,53.4532356520434
2022-10-01,67.08497959815165
2022-11-01,43.55754976218745
2022-12-01,47.9218920880061
