Serie,Pendiente,R2,p_valor,MannKendall
Matoc,0.0017299887469380158,0.4451234642839088,2.4470682871761795e-18,increasing
Pocco,0.001561672594003225,0.4873166691824695,1.37097429265109e-20,increasing
Correlación,0.8163181705445922,0.8952746442495727,1.482999217456357e-65,NA
