fecha,Q_m3s
2013-03-27,0.11849951561936621
2013-03-28,0.11237339142291668
2013-03-29,0.10507012987038195
2013-03-30,0.09968202303173611
2013-03-31,0.09179621722434028
2013-04-01,0.08683449515875
2013-04-02,0.08126932921260416
2013-04-03,0.07605820611465278
2013-04-04,0.08712671083059234
2013-04-05,0.08297689626444443
2013-04-06,0.07797525664774305
2013-04-07,0.07774595039579861
2013-04-08,0.09014133571484616
2013-04-09,0.10314050700003571
2013-04-10,0.10692549907876811
2013-04-11,0.11888054096853448
2013-04-12,0.11180295306111113
2013-04-13,0.09005125387940972
2013-04-14,0.08343217092737411
2013-04-15,0.09042173633052084
2013-04-16,0.0909789472909375
2013-04-17,0.09185658181614582
2013-04-18,0.0842021110690625
2013-04-19,0.07815587749291666
2013-04-20,0.0708337263446875
2013-04-21,0.06379294515381945
2013-04-22,0.05822862503295139
2013-04-23,0.05721640728500001
2013-04-24,0.054822708127222224
2013-04-25,0.04955511399559028
2013-04-26,0.04598481280774305
2013-04-27,0.04273714624482639
2013-04-28,0.041229104992881946
2013-04-29,0.03923807316673611
2013-04-30,0.03756837079888889
2013-05-01,0.037873480476666666
2013-05-02,0.03923753857621528
2013-05-03,0.03841223331774305
2013-05-04,0.04120777110114583
2013-05-05,0.03876462229461805
2013-05-06,0.03825613715885417
2013-05-07,0.036767883819166666
2013-05-08,0.035306446147673615
2013-05-09,0.03383210719621528
2013-05-10,0.03327839560673611
2013-05-11,0.03296752728472222
2013-05-12,0.03331350942569444
2013-05-13,0.032280307975
2013-05-14,0.03169645611920138
2013-05-15,0.03489653496496528
2013-05-16,0.03435600372670139
2013-05-17,0.03156978638402778
2013-05-18,0.03180539107222222
2013-05-19,0.033299525356666665
2013-05-20,0.021797432649825782
2013-05-21,0.016144035341346154
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-25,
2013-05-26,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,
2013-06-02,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,0.007066244433239669
2013-06-08,0.006863378095684027
2013-06-09,0.0064438788788368055
2013-06-10,0.006215089553451389
2013-06-11,0.0059520174631111115
2013-06-12,0.005933549461840278
2013-06-13,0.005851824371322917
2013-06-14,0.0058473572741875
2013-06-15,0.00602484683846875
2013-06-16,0.005857081027194445
2013-06-17,0.005448397978864584
2013-06-18,0.0052110765241006945
2013-06-19,0.005062448732822917
2013-06-20,0.004935676572416666
2013-06-21,0.0048345282546631944
2013-06-22,0.0046213141012881945
2013-06-23,0.004383222597538194
2013-06-24,0.004176527185493055
2013-06-25,0.004106908385472222
2013-06-26,0.0041455632490763885
2013-06-27,0.004128877134739583
2013-06-28,0.004015222637375
2013-06-29,0.003835332174048611
2013-06-30,0.004020044943086806
2013-07-01,0.0040399111076875
2013-07-02,0.004284339363517361
2013-07-03,0.00425412877753125
2013-07-04,0.004059827497253472
2013-07-05,0.003864722020135417
2013-07-06,0.003763129467385417
2013-07-07,0.00366355591309375
2013-07-08,0.0036960081138437497
2013-07-09,0.003569729865236111
2013-07-10,0.003410128658923611
2013-07-11,0.0033815589358958333
2013-07-12,0.003381477169652778
2013-07-13,0.003188994764184028
2013-07-14,0.0031950946225000002
2013-07-15,0.003101089502201389
2013-07-16,0.01622880185673776
2013-07-17,0.020187096368059234
2013-07-18,0.0028431848532083333
2013-07-19,0.0028676176793333333
2013-07-20,0.002917174038548611
2013-07-21,0.0029179934053680553
2013-07-22,0.0028265574468472224
2013-07-23,0.0027916827602701756
2013-07-24,0.002671630667815972
2013-07-25,0.00264193578690625
2013-07-26,0.0025517302980347222
2013-07-27,0.0025291200694374997
2013-07-28,0.002536726277298611
2013-07-29,0.0024589608451145834
2013-07-30,0.0025093880420486107
2013-07-31,0.002508913692
2013-08-01,0.0025602399041180553
2013-08-02,0.0025413536745
2013-08-03,0.0024674643590624997
2013-08-04,0.0024728214341493055
2013-08-05,0.0023960621236006944
2013-08-06,0.0023419989398611113
2013-08-07,0.002309514544652778
2013-08-08,0.0024242181644097225
2013-08-09,0.0023672304309826386
2013-08-10,0.0023322621058611114
2013-08-11,0.002349056440034722
2013-08-12,0.0024202203616284722
2013-08-13,0.002304274479340278
2013-08-14,0.0022100388892604167
2013-08-15,0.0022715614822604166
2013-08-16,0.0023443410642118054
2013-08-17,0.0022004993833159726
2013-08-18,0.0020487871087604167
2013-08-19,0.00211470307625
2013-08-20,0.0020642992365243057
2013-08-21,0.0020304943448055555
2013-08-22,0.0019880018993125
2013-08-23,0.0020530982147465276
2013-08-24,0.0020627081225868056
2013-08-25,0.0020583328170520835
2013-08-26,0.0023170972262430553
2013-08-27,0.004462890866157343
2013-08-28,0.0057558702131909716
2013-08-29,0.005297162831895105
2013-08-30,0.004570976790996528
2013-08-31,0.004384755489496527
2013-09-01,0.004390596877909722
2013-09-02,0.004379413573746527
2013-09-03,0.004143049539579861
2013-09-04,0.004038324586555555
2013-09-05,0.004007829055100695
2013-09-06,0.003854263812149305
2013-09-07,0.0038618075401354165
2013-09-08,0.0037554070389062503
2013-09-09,0.0037048285937291664
2013-09-10,0.003745460495725694
2013-09-11,0.0037803977503541664
2013-09-12,0.0037790669037118052
2013-09-13,0.0039721836579756946
2013-09-14,0.003929027679732639
2013-09-15,0.003907879865499999
2013-09-16,0.004380117735309028
2013-09-17,0.0040868257328090275
2013-09-18,0.003917208665739583
2013-09-19,0.003959735712336805
2013-09-20,0.003911456938256944
2013-09-21,0.003789057163222222
2013-09-22,0.0036793738896875
2013-09-23,0.003620306407420139
2013-09-24,0.0035974523129791666
2013-09-25,0.003781811862013889
2013-09-26,0.004154846429142361
2013-09-27,0.003966446007378472
2013-09-28,0.00394486777896875
2013-09-29,0.0036722226745243055
2013-09-30,0.0037219544074409724
2013-10-01,0.003384654665163763
2013-10-02,0.0031257545437847222
2013-10-03,0.003064278966
2013-10-04,0.003191629607034722
2013-10-05,0.0028282980074479168
2013-10-06,0.0032023404498784723
2013-10-07,0.003492288536440972
2013-10-08,0.0028226496671145836
2013-10-09,0.0031056690110034726
2013-10-10,0.003517340599434028
2013-10-11,0.0031020346145659724
2013-10-12,0.0031774301834791665
2013-10-13,0.01106888544303147
2013-10-14,0.008965885786034723
2013-10-15,0.015089959451059029
2013-10-16,0.016020562568541667
2013-10-17,0.018919069965208334
2013-10-18,0.013471118380000001
2013-10-19,0.010307190061322918
2013-10-20,0.008383462839541667
2013-10-21,0.006656191475826388
2013-10-22,0.005640008588288194
2013-10-23,0.005000727239309028
2013-10-24,0.004853512314402778
2013-10-25,0.005625619442902778
2013-10-26,0.005255676550902778
2013-10-27,0.005914777773767361
2013-10-28,0.018337851976672537
2013-10-29,0.023439648936006943
2013-10-30,0.021759853844791666
2013-10-31,0.022064220969305555
2013-11-01,0.020475813930833333
2013-11-02,0.030782403929508772
2013-11-03,0.06052776101700349
2013-11-04,0.08507105908341464
2013-11-05,0.06865051283454861
2013-11-06,0.053198686840486106
2013-11-07,0.040564156094027776
2013-11-08,0.03153729123371528
2013-11-09,0.025184172185451388
2013-11-10,0.021410888287465277
2013-11-11,0.017681564651666665
2013-11-12,0.015996710725208335
2013-11-13,0.01360145386920139
2013-11-14,0.010954330394916376
2013-11-15,0.008480697219045139
2013-11-16,0.0071644442351840275
2013-11-17,0.007515767111555555
2013-11-18,0.0088920999833125
2013-11-19,0.009357077938229166
2013-11-20,0.01188342013886111
2013-11-21,0.021559272334895834
2013-11-22,0.034747574708229166
2013-11-23,0.03244391068194444
2013-11-24,0.024432708359618055
2013-11-25,0.024434813109618054
2013-11-26,0.022739890219166666
2013-11-27,0.01783041652670139
2013-11-28,0.016651657776944447
2013-11-29,0.014682563111909722
2013-11-30,0.013184805895659723
2013-12-01,0.0129728714571875
2013-12-02,0.01685366187017361
2013-12-03,0.03944299761225694
2013-12-04,0.05774421200034843
2013-12-05,0.11108993742459075
2013-12-06,0.1013757875325614
2013-12-07,0.08822647954833333
2013-12-08,0.08219514970965278
2013-12-09,0.08148107779562501
2013-12-10,0.07955754878430556
2013-12-11,0.07688172846700349
2013-12-12,0.08464134961129825
2013-12-13,0.08846205204965156
2013-12-14,0.09364210281291667
2013-12-15,0.10080944322968749
2013-12-16,0.10288571112369004
2013-12-17,0.10034989017829861
2013-12-18,0.08483103498149305
2013-12-19,0.07474738595211805
2013-12-20,0.06502530811711806
2013-12-21,0.05266793709076389
2013-12-22,0.04353766650881944
2013-12-23,0.038812710799201386
2013-12-24,0.035532598685381944
2013-12-25,0.03295909550829861
2013-12-26,0.031204788671944445
2013-12-27,0.029512191168680552
2013-12-28,0.028047005544999996
2013-12-29,0.02725417600923611
2013-12-30,0.026810235268090277
2013-12-31,0.03504439080364583
2014-01-01,0.031024661468020836
2014-01-02,0.03498567462620209
2014-01-03,0.03220433893003472
2014-01-04,0.031046850344965276
2014-01-05,0.03674500193982639
2014-01-06,0.0380435934646875
2014-01-07,0.041106625279375
2014-01-08,0.07037289006877623
2014-01-09,0.07156717482517361
2014-01-10,0.08322599728477352
2014-01-11,0.11023484301236162
2014-01-12,0.09323534599628472
2014-01-13,0.08006428598072918
2014-01-14,0.07154233637635415
2014-01-15,0.06599823555451388
2014-01-16,0.06992568331809028
2014-01-17,0.06982700311842105
2014-01-18,0.06451404377798611
2014-01-19,0.0537366005890625
2014-01-20,0.0523282281096875
2014-01-21,0.06485475391284722
2014-01-22,0.07631323364822916
2014-01-23,0.08422056635401434
2014-01-24,0.08408175931958334
2014-01-25,0.07666402511256945
2014-01-26,0.06724044730659723
2014-01-27,0.05393242597618056
2014-01-28,0.04400250636076389
2014-01-29,0.03608318908760417
2014-01-30,0.03180940997614583
2014-01-31,0.03310793720892361
2014-02-01,0.031896117513472225
2014-02-02,0.050392527967472525
2014-02-03,0.08540490833171328
2014-02-04,0.074820097823125
2014-02-05,0.06623963747729167
2014-02-06,0.08253768778428572
2014-02-07,0.0864378491740625
2014-02-08,0.0783344588160764
2014-02-09,0.07563858402913194
2014-02-10,0.07846690818885417
2014-02-11,0.08509045414242915
2014-02-12,0.1129230058097153
2014-02-13,0.13285108794892855
2014-02-14,0.11009832860205575
2014-02-15,0.09598017348687499
2014-02-16,0.09039741096045296
2014-02-17,0.0875041388946875
2014-02-18,0.09972804811059233
2014-02-19,0.09871723194666666
2014-02-20,0.09474594196163194
2014-02-21,0.09312061534524305
2014-02-22,0.09511937245114982
2014-02-23,0.09776288248735508
2014-02-24,0.12309211281670412
2014-02-25,0.13730422866341463
2014-02-26,0.11484998159027777
2014-02-27,0.10116631280829862
2014-02-28,0.09214790399759581
2014-03-01,0.09307039879742958
2014-03-02,0.09204999410388888
2014-03-03,0.10983293956955882
2014-03-04,0.12373606589157894
2014-03-05,0.11531809586388889
2014-03-06,0.11251012921576388
2014-03-07,0.11699495729230769
2014-03-08,0.12004110537291668
2014-03-09,0.11807650932996516
2014-03-10,0.12734715293223442
2014-03-11,0.1346429527
2014-03-12,0.11588494026202091
2014-03-13,0.1167043306707639
2014-03-14,0.12510863525214286
2014-03-15,0.12412676685555556
2014-03-16,0.122140215609375
2014-03-17,0.11728235142125436
2014-03-18,0.11529795029131945
2014-03-19,0.11860240422527472
2014-03-20,0.12106236381157896
2014-03-21,0.11058377591354167
2014-03-22,0.10968493534027778
2014-03-23,0.0997698887061111
2014-03-24,0.09740262755250001
2014-03-25,0.09423478397555556
2014-03-26,0.09656201546028269
2014-03-27,0.10522630937149306
2014-03-28,0.10340318685833333
2014-03-29,0.0948267478823611
2014-03-30,0.0918983930854007
2014-03-31,0.08203602350128472
2014-04-01,0.07211811818649305
2014-04-02,0.06619186740510416
2014-04-03,0.06655565379076389
2014-04-04,0.06224631737763889
2014-04-05,0.05620779999486111
2014-04-06,0.05151652135572917
2014-04-07,0.05055216666447917
2014-04-08,0.048344819894270835
2014-04-09,0.053702853796805554
2014-04-10,0.05013278352447917
2014-04-11,0.04652910873611111
2014-04-12,0.04481266973190972
2014-04-13,0.04351831197399306
2014-04-14,0.04114125863184028
2014-04-15,0.03938518727298611
2014-04-16,0.03740020377496528
2014-04-17,0.03623464383628472
2014-04-18,0.04482052022298611
2014-04-19,0.05297197388760417
2014-04-20,0.04323982537809028
2014-04-21,0.041696782249375
2014-04-22,0.04787414222641115
2014-04-23,0.057438149133344954
2014-04-24,0.05822956587236934
2014-04-25,0.049064229626127165
2014-04-26,
2014-04-27,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-03,
2014-05-04,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-10,
2014-05-11,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-07,
2014-06-08,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-14,
2014-06-15,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,0.008321977023112149
2014-06-21,0.00880606580976389
2014-06-22,0.008903551618756944
2014-06-23,0.008727968782357638
2014-06-24,0.008675056931652776
2014-06-25,0.00892525730803125
2014-06-26,0.010108397686385417
2014-06-27,0.009733857452440972
2014-06-28,0.008972593975868056
2014-06-29,0.008740374080677083
2014-06-30,0.008377999610048611
2014-07-01,0.009557564698305555
2014-07-02,0.009546687429506946
2014-07-03,0.00900272127070486
2014-07-04,0.008720878067322918
2014-07-05,0.008798819397649305
2014-07-06,0.008562236553881945
2014-07-07,0.00848203088644097
2014-07-08,0.00831099223136111
2014-07-09,0.007984089588940972
2014-07-10,0.007702939957201389
2014-07-11,0.007559125416892362
2014-07-12,0.007349281962427083
2014-07-13,0.007176044236128472
2014-07-14,0.006939570253309028
2014-07-15,0.007035308385277778
2014-07-16,0.006929785495461805
2014-07-17,0.007049500623496528
2014-07-18,0.007058517848979167
2014-07-19,0.006980130750059028
2014-07-20,0.00742010529073611
2014-07-21,0.0071697086147534715
2014-07-22,0.006652203640479167
2014-07-23,0.00635781029884375
2014-07-24,0.006360538234878472
2014-07-25,0.006264146795840277
2014-07-26,0.006250360406315972
2014-07-27,0.006189678238836805
2014-07-28,0.007022179636083333
2014-07-29,0.005970224915739583
2014-07-30,0.005841739389111111
2014-07-31,0.005687472203538195
2014-08-01,0.005395715895343749
2014-08-02,0.005289157169027777
2014-08-03,0.004988152015763889
2014-08-04,0.004833455687211805
2014-08-05,0.0049154524981701395
2014-08-06,0.0051583973408680555
2014-08-07,0.00504667068465625
2014-08-08,0.00493359129490625
2014-08-09,0.005050915858472223
2014-08-10,0.0048400198327916664
2014-08-11,0.004586261413079861
2014-08-12,0.0043736819045763885
2014-08-13,0.0043349382496284715
2014-08-14,0.004269351578236111
2014-08-15,0.0042499902803125
2014-08-16,0.0040236944715590275
2014-08-17,0.00394483226940625
2014-08-18,0.003995466488871527
2014-08-19,0.003924107332499999
2014-08-20,0.003868798539975694
2014-08-21,0.003878906844746528
2014-08-22,0.0038763079625868052
2014-08-23,0.0037966682436701388
2014-08-24,0.0038084898469479167
2014-08-25,0.003839892368597222
2014-08-26,0.003793553841590278
2014-08-27,0.003768196637329861
2014-08-28,0.00379764293865625
2014-08-29,0.0037925277808194447
2014-08-30,0.0037796554266180554
2014-08-31,0.003636569617972222
2014-09-01,0.003511270704517361
2014-09-02,0.003433647149854167
2014-09-03,0.003409214665378472
2014-09-04,0.0034592393315451392
2014-09-05,0.003755986934403509
2014-09-06,0.004399213761739584
2014-09-07,0.004156086312722222
2014-09-08,0.004159058082961805
2014-09-09,0.004246420145128472
2014-09-10,0.004451781022621528
2014-09-11,0.004417736136406249
2014-09-12,0.005114262126534722
2014-09-13,0.004748247073493055
2014-09-14,0.004594299837024305
