system:index,CHIRPS,date,.geo
75,85.56014027962317,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,39.48068200624906,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,3.0966117565448465,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,3.2413989580594573,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7.993118873009315,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,37.18433761596679,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80.81314893869252,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,74.7186401807345,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,182.39275840612555,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,84.58326917428236,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,131.7526717552772,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,168.63394183378952,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,80.87306731939314,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,32.23478148533747,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,3.7968721144581927,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,3.8980651818788963,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,6.466342926025391,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,59.105538735022904,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,56.69837841620811,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,62.75669029011176,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,104.00953934742853,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,74.4109671482673,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,101.25160474043625,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,145.27883848777182,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,64.24119171729454,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,40.73467676456157,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,4.323033615803489,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,3.7629331069496956,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,8.50608994410588,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,35.44385336454098,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,118.9801700573701,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,53.26467990875244,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,103.04900549008296,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,79.51459473830003,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,91.5957214648907,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,212.19007792839633,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,85.6856190608098,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,39.46217716657198,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,3.489097741933969,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,3.2413984445425177,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,8.384563060907215,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,35.09177281306339,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,62.33837894292977,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,109.20451164245605,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,87.82260760894187,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,123.98671676562381,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,146.96378144851096,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,165.49370961922864,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,91.90022255824161,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,42.78745489854079,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,7.027298632149512,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,3.2413985912616434,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,8.087471595177282,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,59.11795742695147,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,55.448274685786316,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,47.0233511191148,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,81.32715008809015,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
