system:index,CHIRPS,date,.geo
75,82.05245685577393,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,44.38979625701904,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,5.153040647506714,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,5.657487273216248,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,9.88648247718811,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,41.51306915283203,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,86.97379577159882,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,75.08891010284424,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,194.3082127571106,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,93.84243392944336,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,144.88587856292725,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,179.58616018295288,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,75.92225670814514,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,35.0183219909668,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,5.272120867623016,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,5.657487154006958,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,7.510476589202881,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,60.073163986206055,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,56.628233909606934,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,62.63584963232279,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,113.3103985786438,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,80.78027248382568,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,115.06511211395264,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,153.6988878250122,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,58.9738130569458,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,44.91338324546814,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,5.153040021657944,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,5.657486915588379,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10.467744827270508,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,44.050232112407684,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,130.64801132678986,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,57.02250528335571,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,106.38884544372559,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,86.10478401184082,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,108.15923428535461,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,220.73319244384766,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,82.93726444244385,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,39.91120529174805,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,6.350994110107422,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,5.657486438751221,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,10.190988540649414,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,42.59074306488037,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,69.24288177490234,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,119.97523140907288,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,92.62306106090546,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,135.3722107410431,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,166.3400321006775,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,165.7741150856018,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,84.86984920501709,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,46.771934509277344,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,8.592931763522529,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,5.65748655796051,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,9.82681655883789,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,70.85330128669739,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,56.23774766921997,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,47.824955701828,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,84.851282954216,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
