system:index,CHIRPS,date,.geo
75,84.79168220666739,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,37.96255955329308,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1.7418441130564764,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1.823286913908445,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7.6922647677935085,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,36.51693916320801,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80.31555099212206,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,73.04845014902261,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,177.6575709489676,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,83.55507962520305,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,130.1906744150015,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,168.5906749505263,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,82.11385986208916,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,31.324162666614242,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2.7745701611453955,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2.9396195778479943,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,6.273069143295288,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,58.46464648613563,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,56.73238042684702,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,61.9028476895048,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,101.15327728253143,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,72.77422260321103,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,99.8551226395827,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,141.3223286041847,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,64.23563340994029,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,38.78429879592015,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,3.8267616727747593,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2.5967058777236023,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,8.206078584377583,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,34.939165401917236,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,117.13124133990362,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,50.81197273731232,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,101.67412287455339,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,79.3809844989043,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,89.32811648112077,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,210.1948394408593,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,85.6433068055373,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,37.78405323395362,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
