mes,Q_mm,Q_sim
1,48.083333333333336,60.9302755644882
2,54.42333333333334,70.5737895053266
3,89.702,96.65677086723527
4,50.35,57.9423692151583
5,21.14,36.179062815598456
6,3.2300000000000004,18.553343926832866
7,3.9166666666666665,13.241127974107696
8,2.353333333333333,9.895056847235015
9,2.8325,9.468794863276958
10,4.754,18.220104020005746
11,21.35,33.13891122842842
12,47.946666666666665,56.93222320894113
