mes,Q_mm,Q_sim
1,64.09666666666666,84.85888455478413
2,72.74666666666667,94.80063070439866
3,95.555,132.4022110426666
4,53.01833333333334,69.87929570252646
5,24.5975,46.873473877017176
6,6.55,22.966503459230278
7,5.706666666666666,16.58652342310124
8,3.816666666666667,12.437058730005589
9,3.3525,13.663536700283403
10,9.98,29.510728737850442
11,40.515,46.50648628142876
12,69.27,76.7708929063095
