anio,mes,Q_m3s,fecha,Q_norm
2020,8,0.09283870967741936,2020-08-01,0.9224017194078663
2020,9,0.060333333333333336,2020-09-01,0.5994436006019849
2020,10,0.0552258064516129,2020-10-01,0.5486976176602735
2020,11,0.07983333333333334,2020-11-01,0.7931864217910243
2020,12,0.09790322580645162,2020-12-01,0.9727203677563845
2021,1,0.12048387096774194,2021-01-01,1.197071029182898
2021,2,0.09414285714285715,2021-02-01,0.9353591147514793
2021,3,0.10953333333333333,2021-03-01,1.0882716417558687
2021,4,,2021-04-01,
2021,5,,2021-05-01,
2021,6,,2021-06-01,
2021,7,,2021-07-01,
2021,8,,2021-08-01,
2021,9,,2021-09-01,
2021,10,,2021-10-01,
2021,11,,2021-11-01,
2021,12,,2021-12-01,
2022,1,,2022-01-01,
2022,2,,2022-02-01,
2022,3,,2022-03-01,
2022,4,,2022-04-01,
2022,5,,2022-05-01,
2022,6,,2022-06-01,
2022,7,,2022-07-01,
2022,8,,2022-08-01,
2022,9,,2022-09-01,
2022,10,,2022-10-01,
2022,11,,2022-11-01,
2022,12,,2022-12-01,
