,P_mm,Tmed_c,ndvi,Q_mm
count,132.0,132.0,132.0,132.0
mean,102.37166666666667,9.863863636363636,0.18166666666666664,53.937954545454545
std,82.05090433715236,1.6378148949493572,0.08564231196064465,44.04827380902877
min,1.4,6.45,0.08,6.46
25%,25.060000000000002,8.555,0.12,19.005000000000003
50%,100.14,9.77,0.14,43.724999999999994
75%,156.0825,11.182500000000001,0.2425,79.5575
max,374.6,13.48,0.42,208.22
