,P_mm,Tmed_c,ndvi,Q_mm
count,132.0,132.0,132.0,132.0
mean,90.57136363636366,11.887499999999998,0.19113636363636363,40.144015151515156
std,69.19569806127669,2.058847737845999,0.09936168588440125,32.219050498939346
min,1.1,7.88,0.0,6.33
25%,21.127499999999998,10.19,0.12,13.125
50%,83.58500000000001,11.82,0.15,32.755
75%,139.12,13.524999999999999,0.25,58.595
max,309.4,16.15,0.47,166.44
